qid,seq_no,docno,rank,score
187,1,21296218,1,1.16968
187,1,19278728,2,0.642424
187,1,26589133,3,1.009958
187,1,21296224,4,0.743875
187,1,47454294,5,0.7240348486367775
187,1,315927,6,0.662988
187,1,12319895,7,0.585485
187,1,44331442,8,0.571154
187,1,9342301,9,0.3223713344284607
187,1,49550577,10,0.746299
187,1,39681327,11,0.588843
187,1,1976944,12,0.03297056326229467
187,1,44225499,13,0.503244
187,1,2704720,14,0.197834
187,1,3684625,15,0.846969
187,1,2573677,16,0.5973915650824216
187,1,1724617,17,0.474617
187,1,4393502,18,0.912097
187,1,9788947,19,0.6182858552805439
187,1,35981916,20,0.636628
187,2,4304957,1,0.587535
187,2,10582830,2,0.336006
187,2,315927,3,0.662988
187,2,19278728,4,0.642424
187,2,3684625,5,0.846969
187,2,1201591,6,0.724108
187,2,3970948,7,0.711737
187,2,58998173,8,0.658047
187,2,2704720,9,0.197834
187,2,3581883,10,2.081096
187,2,21296224,11,0.743875
187,2,4393502,12,0.912097
187,2,44225499,13,0.503244
187,2,28496761,14,0.385797
187,2,4414172,15,0.472786
187,2,54044,16,4.9930151510120275
187,2,9630158,17,0.49077
187,2,43509183,18,0.2088459905144578
187,2,25652303,19,0.247058
187,2,6386814,20,1.479244
187,3,21296218,1,1.16968
187,3,19278728,2,0.642424
187,3,26589133,3,1.009958
187,3,56296730,4,0.658578
187,3,34120229,5,0.573541
187,3,21296224,6,0.743875
187,3,315927,7,0.662988
187,3,12319895,8,0.585485
187,3,61497503,9,0.498801
187,3,33066340,10,0.509682
187,3,1194886,11,1.128536
187,3,44331442,12,0.571154
187,3,39681327,13,0.588843
187,3,44225499,14,0.503244
187,3,2704720,15,0.197834
187,3,3684625,16,0.846969
187,3,45638234,17,0.25233921215370037
187,3,1724617,18,0.474617
187,3,4393502,19,0.912097
187,3,35981916,20,0.636628
187,4,21296218,1,1.16968
187,4,3684625,2,0.846969
187,4,315927,3,0.662988
187,4,2704720,4,0.197834
187,4,19278728,5,0.642424
187,4,9630158,6,0.49077
187,4,39681327,7,0.588843
187,4,26589133,8,1.009958
187,4,4393502,9,0.912097
187,4,56296730,10,0.658578
187,4,1201591,11,0.724108
187,4,61622,12,1.036778
187,4,34120229,13,0.573541
187,4,58998173,14,0.658047
187,4,21296224,15,0.743875
187,4,2336903,16,0.390479
187,4,6386814,17,1.479244
187,4,62332908,18,0.309992
187,4,12319895,19,0.585485
187,4,4304957,20,0.587535
187,5,26589133,1,1.009958
187,5,21296218,2,1.16968
187,5,44331442,3,0.571154
187,5,34120229,4,0.573541
187,5,56296730,5,0.658578
187,5,19278728,6,0.642424
187,5,39681327,7,0.588843
187,5,12319895,8,0.585485
187,5,21296224,9,0.743875
187,5,33066340,10,0.509682
187,5,315927,11,0.662988
187,5,44225499,12,0.503244
187,5,32403779,13,0.502915
187,5,69391314,14,0.898356
187,5,1194886,15,1.128536
187,5,9630158,16,0.49077
187,5,35981916,17,0.636628
187,5,2704720,18,0.197834
187,5,30653780,19,1.204778
187,5,3684625,20,0.846969
187,6,39681327,1,0.588843
187,6,44225499,2,0.503244
187,6,1724617,3,0.474617
187,6,12319895,4,0.585485
187,6,32403779,5,0.502915
187,6,1194886,6,1.128536
187,6,3424781,7,0.248614
187,6,14547147,8,0.333708
187,6,10582830,9,0.336006
187,6,3699685,10,0.706627
187,6,31815960,11,0.257491
187,6,4393502,12,0.912097
187,6,2336903,13,0.390479
187,6,932532,14,0.394107
187,6,20475183,15,0.260562
187,6,5583008,16,0.917494
187,6,48932198,17,0.775704
187,6,35981916,18,0.636628
187,6,45487379,19,0.675748
187,6,6386814,20,1.479244
187,7,39681327,1,0.588843
187,7,44225499,2,0.503244
187,7,1724617,3,0.474617
187,7,12319895,4,0.585485
187,7,32403779,5,0.502915
187,7,1194886,6,1.128536
187,7,3424781,7,0.248614
187,7,14547147,8,0.333708
187,7,10582830,9,0.336006
187,7,3699685,10,0.706627
187,7,31815960,11,0.257491
187,7,4393502,12,0.912097
187,7,2336903,13,0.390479
187,7,932532,14,0.394107
187,7,20475183,15,0.260562
187,7,5583008,16,0.917494
187,7,48932198,17,0.775704
187,7,35981916,18,0.636628
187,7,45487379,19,0.675748
187,7,6386814,20,1.479244
187,8,39681327,1,0.588843
187,8,44225499,2,0.503244
187,8,1724617,3,0.474617
187,8,12319895,4,0.585485
187,8,32403779,5,0.502915
187,8,1194886,6,1.128536
187,8,3424781,7,0.248614
187,8,14547147,8,0.333708
187,8,10582830,9,0.336006
187,8,3699685,10,0.706627
187,8,31815960,11,0.257491
187,8,4393502,12,0.912097
187,8,2336903,13,0.390479
187,8,932532,14,0.394107
187,8,20475183,15,0.260562
187,8,5583008,16,0.917494
187,8,48932198,17,0.775704
187,8,35981916,18,0.636628
187,8,45487379,19,0.675748
187,8,6386814,20,1.479244
187,9,39681327,1,0.588843
187,9,44225499,2,0.503244
187,9,1724617,3,0.474617
187,9,12319895,4,0.585485
187,9,32403779,5,0.502915
187,9,1194886,6,1.128536
187,9,3424781,7,0.248614
187,9,14547147,8,0.333708
187,9,10582830,9,0.336006
187,9,3699685,10,0.706627
187,9,31815960,11,0.257491
187,9,4393502,12,0.912097
187,9,2336903,13,0.390479
187,9,932532,14,0.394107
187,9,20475183,15,0.260562
187,9,5583008,16,0.917494
187,9,48932198,17,0.775704
187,9,35981916,18,0.636628
187,9,45487379,19,0.675748
187,9,6386814,20,1.479244
187,10,39681327,1,0.588843
187,10,44225499,2,0.503244
187,10,1724617,3,0.474617
187,10,12319895,4,0.585485
187,10,32403779,5,0.502915
187,10,1194886,6,1.128536
