qid,seq_no,docno,rank,score
187,1,21296218,1,1.16968
187,1,19278728,2,0.642424
187,1,26589133,3,1.009958
187,1,21296224,4,0.743875
187,1,47454294,5,0.7240348486367775
187,1,315927,6,0.662988
187,1,12319895,7,0.585485
187,1,44331442,8,0.571154
187,1,9342301,9,0.3223713344284607
187,1,49550577,10,0.746299
187,1,39681327,11,0.588843
187,1,1976944,12,0.03297056326229467
187,1,44225499,13,0.503244
187,1,2704720,14,0.197834
187,1,3684625,15,0.846969
187,1,2573677,16,0.5973915650824216
187,1,1724617,17,0.474617
187,1,4393502,18,0.912097
187,1,9788947,19,0.6182858552805439
187,1,35981916,20,0.636628
187,2,21296218,1,1.16968
187,2,19278728,2,0.642424
187,2,26589133,3,1.009958
187,2,21296224,4,0.743875
187,2,47454294,5,0.7240348486367775
187,2,315927,6,0.662988
187,2,12319895,7,0.585485
187,2,44331442,8,0.571154
187,2,9342301,9,0.3223713344284607
187,2,49550577,10,0.746299
187,2,39681327,11,0.588843
187,2,1976944,12,0.03297056326229467
187,2,44225499,13,0.503244
187,2,2704720,14,0.197834
187,2,3684625,15,0.846969
187,2,2573677,16,0.5973915650824216
187,2,1724617,17,0.474617
187,2,4393502,18,0.912097
187,2,9788947,19,0.6182858552805439
187,2,35981916,20,0.636628
187,3,21296218,1,1.16968
187,3,19278728,2,0.642424
187,3,26589133,3,1.009958
187,3,21296224,4,0.743875
187,3,47454294,5,0.7240348486367775
187,3,315927,6,0.662988
187,3,12319895,7,0.585485
187,3,44331442,8,0.571154
187,3,9342301,9,0.3223713344284607
187,3,49550577,10,0.746299
187,3,39681327,11,0.588843
187,3,1976944,12,0.03297056326229467
187,3,44225499,13,0.503244
187,3,2704720,14,0.197834
187,3,3684625,15,0.846969
187,3,2573677,16,0.5973915650824216
187,3,1724617,17,0.474617
187,3,4393502,18,0.912097
187,3,9788947,19,0.6182858552805439
187,3,35981916,20,0.636628
187,4,21296218,1,1.16968
187,4,19278728,2,0.642424
187,4,26589133,3,1.009958
187,4,21296224,4,0.743875
187,4,47454294,5,0.7240348486367775
187,4,315927,6,0.662988
187,4,12319895,7,0.585485
187,4,44331442,8,0.571154
187,4,9342301,9,0.3223713344284607
187,4,49550577,10,0.746299
187,4,39681327,11,0.588843
187,4,1976944,12,0.03297056326229467
187,4,44225499,13,0.503244
187,4,2704720,14,0.197834
187,4,3684625,15,0.846969
187,4,2573677,16,0.5973915650824216
187,4,1724617,17,0.474617
187,4,4393502,18,0.912097
187,4,9788947,19,0.6182858552805439
187,4,35981916,20,0.636628
187,5,21296218,1,1.16968
187,5,19278728,2,0.642424
187,5,26589133,3,1.009958
187,5,21296224,4,0.743875
187,5,47454294,5,0.7240348486367775
187,5,315927,6,0.662988
187,5,12319895,7,0.585485
187,5,44331442,8,0.571154
187,5,9342301,9,0.3223713344284607
187,5,49550577,10,0.746299
187,5,39681327,11,0.588843
187,5,1976944,12,0.03297056326229467
187,5,44225499,13,0.503244
187,5,2704720,14,0.197834
187,5,3684625,15,0.846969
187,5,2573677,16,0.5973915650824216
187,5,1724617,17,0.474617
187,5,4393502,18,0.912097
187,5,9788947,19,0.6182858552805439
187,5,35981916,20,0.636628
187,6,21296218,1,1.16968
187,6,19278728,2,0.642424
187,6,26589133,3,1.009958
187,6,21296224,4,0.743875
187,6,47454294,5,0.7240348486367775
187,6,315927,6,0.662988
187,6,12319895,7,0.585485
187,6,44331442,8,0.571154
187,6,9342301,9,0.3223713344284607
187,6,49550577,10,0.746299
187,6,39681327,11,0.588843
187,6,1976944,12,0.03297056326229467
187,6,44225499,13,0.503244
187,6,2704720,14,0.197834
187,6,3684625,15,0.846969
187,6,2573677,16,0.5973915650824216
187,6,1724617,17,0.474617
187,6,4393502,18,0.912097
187,6,9788947,19,0.6182858552805439
187,6,35981916,20,0.636628
187,7,21296218,1,1.16968
187,7,19278728,2,0.642424
187,7,26589133,3,1.009958
187,7,21296224,4,0.743875
187,7,47454294,5,0.7240348486367775
187,7,315927,6,0.662988
187,7,12319895,7,0.585485
187,7,44331442,8,0.571154
187,7,9342301,9,0.3223713344284607
187,7,49550577,10,0.746299
187,7,39681327,11,0.588843
187,7,1976944,12,0.03297056326229467
187,7,44225499,13,0.503244
187,7,2704720,14,0.197834
187,7,3684625,15,0.846969
187,7,2573677,16,0.5973915650824216
187,7,1724617,17,0.474617
187,7,4393502,18,0.912097
187,7,9788947,19,0.6182858552805439
187,7,35981916,20,0.636628
187,8,21296218,1,1.16968
187,8,19278728,2,0.642424
187,8,26589133,3,1.009958
187,8,21296224,4,0.743875
187,8,47454294,5,0.7240348486367775
187,8,315927,6,0.662988
187,8,12319895,7,0.585485
187,8,44331442,8,0.571154
187,8,9342301,9,0.3223713344284607
187,8,49550577,10,0.746299
187,8,39681327,11,0.588843
187,8,1976944,12,0.03297056326229467
187,8,44225499,13,0.503244
187,8,2704720,14,0.197834
187,8,3684625,15,0.846969
187,8,2573677,16,0.5973915650824216
187,8,1724617,17,0.474617
187,8,4393502,18,0.912097
187,8,9788947,19,0.6182858552805439
187,8,35981916,20,0.636628
187,9,21296218,1,1.16968
187,9,19278728,2,0.642424
187,9,26589133,3,1.009958
187,9,21296224,4,0.743875
187,9,47454294,5,0.7240348486367775
187,9,315927,6,0.662988
187,9,12319895,7,0.585485
187,9,44331442,8,0.571154
187,9,9342301,9,0.3223713344284607
187,9,49550577,10,0.746299
187,9,39681327,11,0.588843
187,9,1976944,12,0.03297056326229467
187,9,44225499,13,0.503244
187,9,2704720,14,0.197834
187,9,3684625,15,0.846969
187,9,2573677,16,0.5973915650824216
187,9,1724617,17,0.474617
